brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
SIN MARCA,Cornalitos,$5.790,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/584307-500-auto?v=637245906191730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cornalitos-4/p,pescados,pescados-y-mariscos
SIN MARCA,Pez Angel,$8.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496145-500-auto?v=636774294787000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/pez-angel-2/p,pescados,pescados-y-mariscos
SIN MARCA,Mero Entero Por Kg,$5.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496148-500-auto?v=636774294795600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mero-entero-por-kg/p,pescados,pescados-y-mariscos
ESNAOLA,Dulce De Membrillo Esnaola 1 Kg,$5.152,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/825847-500-auto?v=638543217707200000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-membrillo-esnaola/p,dulces,quesos-y-fiambres
ESNAOLA,Dulce De Batata Esnaola Con Vainilla 500 Gr,$2.351,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/178478-500-auto?v=636383364794900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-batata-esnaola-con-vainilla-500-gr/p,dulces,quesos-y-fiambres
ESNAOLA,Dulce De Batata Esnaola Con Vainilla 1 Kg,$4.704,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/443956-500-auto?v=636538354395900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-batata-esnaola-con-vainilla-1-kg-2/p,dulces,quesos-y-fiambres
EL GURI,Dulce De Membrillo El Guribar-1-kg,$3.599,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/833616-500-auto?v=638615037676600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-membrillo-el-guribar-1-kg/p,dulces,quesos-y-fiambres
ESNAOLA,Dulce De Membrillo Esnaola 500 Gr,$3.374,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/180143-500-auto?v=636383391087600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-membrillo-esnaola-500-gr/p,dulces,quesos-y-fiambres
EL GURI,Dulce De Batata El Guri Bar-1-kg,$3.299,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/589074-500-auto?v=637280470941570000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-batata-el-guri-bar-1-kg/p,dulces,quesos-y-fiambres
ESNAOLA,Dulce De Batata Esnaola Con Chocolate 500 Gr,$2.461,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/182682-500-auto?v=636383434720430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/dulce-de-batata-esnaola-con-chocolate-500-gr/p,dulces,quesos-y-fiambres
